Bulan,,,,,,
,Jumlah Pengunjung Obyek Wisata Candi Borobudur Menurut Asal Wisatawan dan Bulan di Kabupaten Magelang,,,,,
,Domestik,,,Mancanegara,,
,2014,2015,2016,2014,2015,2016
Januari,324624,301690,324590,16134,11796,10877
Februari,115244,166323,230022,11137,13080,12962
Maret,206051,201414,229138,15715,12285,11326
April,165001,206204,244617,18734,11842,13480
Mei,456831,500103,403267,18842,14342,12407
Juni,385240,230725,227469,17468,13261,15169
Juli,192652,362997,455863,25793,21179,24219
Agustus,272266,192641,176405,34653,31408,32307
September,130361,135266,177105,24272,19880,21566
Oktober,190290,301690,237505,22864,11796,19371
November,192222,187073,216647,17705,12413,13058
Desember,526384,606867,672056,18497,12112,13874
Kabupaten Magelang,3157166,3392993,3594684,241814,185394,200616
