Bulan,,,,,,
,Jumlah Pengunjung Obyek Wisata Candi Borobudur Menurut Asal Wisatawan dan Bulan di Kabupaten Magelang,,,,,
,Domestik,,,Mancanegara,,
,2011,2012,2013,2011,2012,2013
Januari,125367,265454,267189,7950,11348,13637
Februari,83143,122866,135565,9550,10973,14409
Maret,84967,153306,218012,10993,12434,14858
April,83143,161996,162241,9550,12585,14277
Mei,223389,397878,458675,12311,15013,17614
Juni,289105,352987,423821,12038,14705,16390
Juli,185914,191926,115960,22926,24518,22107
Agustus,62177,262712,377473,19277,22041,32553
September,239839,132183,133981,15830,20034,23555
Oktober,125943,139670,169746,15273,16326,19743
November,96743,155085,171841,81845,13307,17266
Desember,357981,491774,512660,11027,12972,17878
Kabupaten Magelang,1957711,2827837,3147164,228570,186256,224287
