Bulan,,,,,,
,Jumlah Pengunjung Obyek Wisata Candi Borobudur Menurut Asal Wisatawan dan Bulan di Kabupaten Magelang,,,,,
,Domestik,,,Mancanegara,,
,2008,2009,2010,2008,2009,2010
Januari,177698,233814,253685,7085,8974,9432
Februari,95689,95521,131952,8761,8362,10050
Maret,155716,150391,102296,8939,10064,9902
April,94903,95806,175353,8503,11043,8223
Mei,192487,252427,301687,10851,12265,13141
Juni,340264,405141,385532,10121,11047,12874
Juli,219674,243447,284047,17289,20542,22404
Agustus,112028,85851,62931,17723,21512,22732
September,34174,267760,266693,11249,12181,14863
Oktober,301024,118925,114021,10830,12609,15278
November,101180,118144,9250,9465,9327,2549
Desember,283497,300969,173634,8567,9049,5924
Kabupaten Magelang,2108334,2368196,2261081,129383,146975,147372
